City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Aklavik,CA,68.2191,-135.0107,25.63,94,100,0.54,overcast clouds
298,Nerchinskiy Zavod,RU,51.3088,119.61,32.14,84,87,3.65,overcast clouds
299,Beruwala,LK,6.4788,79.9828,78.37,83,96,6.85,overcast clouds
300,Puerto Colombia,CO,10.9878,-74.9547,91.49,74,29,15.32,scattered clouds
301,Ayan,RU,56.45,138.1667,39.63,66,93,4.0,overcast clouds
302,Lewistown,US,40.5992,-77.5714,74.93,77,1,0.0,clear sky
303,Keti Bandar,PK,24.1447,67.4497,79.07,56,0,11.5,clear sky
304,Yondo,CO,7.0062,-73.9097,87.04,69,47,1.39,scattered clouds
305,Villazon,BO,-22.0866,-65.5942,57.87,24,65,26.64,broken clouds
306,Vigrestad,NO,58.5667,5.7,52.0,83,100,14.32,overcast clouds
307,Pangkalanbuun,ID,-2.6833,111.6167,73.65,98,100,1.12,light rain
308,Nalut,LY,30.3333,10.85,66.99,41,4,7.99,clear sky
309,Zhuhai,CN,22.2769,113.5678,75.06,78,20,14.97,light rain
310,Inhambane,MZ,-23.865,35.3833,71.29,82,17,7.83,few clouds
311,Canico,PT,32.6333,-16.85,70.72,84,75,12.66,broken clouds
312,Bilma,NE,18.6853,12.9164,82.85,15,0,4.14,clear sky
313,Igarka,RU,67.4667,86.5833,19.24,94,90,10.13,overcast clouds
314,Sao Filipe,CV,14.8961,-24.4956,79.09,74,30,9.31,scattered clouds
315,Rock Sound,BS,24.9,-76.2,82.6,75,96,12.75,overcast clouds
316,Bacolod,PH,10.6667,122.95,77.5,88,94,6.6,overcast clouds
317,Berdigestyakh,RU,62.0989,126.6992,32.05,98,100,5.28,light snow
318,Sorong,ID,-0.8833,131.25,79.47,84,75,8.52,broken clouds
319,Ticleni,RO,44.8833,23.4,41.22,68,0,4.03,clear sky
320,Asyut,EG,27.181,31.1837,68.18,47,0,7.72,clear sky
321,Herat,AF,34.5,62.0,54.63,27,0,5.68,clear sky
322,Ahipara,NZ,-35.1667,173.1667,66.45,65,13,3.38,few clouds
323,Buala,SB,-8.145,159.5921,82.24,76,30,6.38,light rain
324,Windsor Locks,US,41.9293,-72.6273,59.68,97,100,7.07,overcast clouds
325,Arica,CL,-18.475,-70.3042,72.95,59,0,13.8,clear sky
326,Hualmay,PE,-11.0964,-77.6139,67.23,72,35,9.06,scattered clouds
327,Caucaia,BR,-3.7361,-38.6531,82.35,72,0,12.66,clear sky
328,Bani Walid,LY,31.7566,13.9942,70.32,52,0,7.16,clear sky
329,Avarua,CK,-21.2078,-159.775,77.05,61,75,16.11,broken clouds
330,Najran,SA,17.4924,44.1277,66.85,17,18,0.36,few clouds
331,Martapura,ID,-3.4167,114.85,75.29,100,42,1.14,mist
332,Ruidoso,US,33.3317,-105.673,76.75,17,1,13.8,clear sky
333,Iisalmi,FI,63.5592,27.1907,44.62,99,100,7.36,overcast clouds
334,Paragould,US,36.0584,-90.4973,70.84,48,2,13.98,clear sky
335,Atasu,KZ,48.6814,71.6433,44.11,46,100,7.18,overcast clouds
336,Scarborough,GB,54.2797,-0.4044,48.78,82,46,3.0,scattered clouds
337,Ostrovnoy,RU,68.0531,39.5131,20.59,95,60,6.93,broken clouds
338,Baykit,RU,61.67,96.37,29.52,89,100,6.8,overcast clouds
339,Duncan,US,34.5023,-97.9578,80.82,39,1,11.5,clear sky
340,Sambava,MG,-14.2667,50.1667,75.11,80,94,9.22,light rain
341,Callaway,US,30.153,-85.5699,83.91,77,1,5.01,clear sky
342,Jiuquan,CN,39.7432,98.5174,44.46,55,100,8.37,overcast clouds
343,Arlit,NE,18.7369,7.3853,85.96,12,0,3.49,clear sky
344,Salalah,OM,17.0151,54.0924,76.24,71,93,2.01,overcast clouds
345,Nanakuli,US,21.3906,-158.1547,84.04,69,90,8.05,overcast clouds
